match_id,team_id,team_name,player_id,player_name,player_nickname,jersey_number
7569,777,Tunisia,3557,Naïm Sliti,,23
7569,777,Tunisia,3767,Ellyes Skhiri,,17
7569,777,Tunisia,5649,Anice Badri,,9
7569,777,Tunisia,5650,Ferjani Sassi,,13
7569,777,Tunisia,5651,Yassine Meriah,,4
7569,777,Tunisia,5654,Fakhreddine Ben Youssef,,8
7569,777,Tunisia,5936,Hamdi Nagguez,,21
7569,777,Tunisia,6342,Aymen Mathlouthi,,16
7569,777,Tunisia,6345,Rami Bedoui,,6
7569,777,Tunisia,6347,Ghilane Chalali,,20
7569,777,Tunisia,6348,Ahmed Khalil,,15
7569,798,Panama,5628,José Luis Rodríguez Francis,José Rodríguez,21
7569,798,Panama,5629,Gabriel Arturo Torres Tejada,Gabriel Torres,9
7569,798,Panama,5635,Román Aureliano Torres Morcillo,Román Torres,5
7569,798,Panama,5636,Jaime Manuel Penedo Cano,Jaime Penedo,1
7569,798,Panama,5637,Edgar Yoel Bárcenas Herrera,Édgar Yoel Bárcenas,8
7569,798,Panama,5638,Fidel Escobar Mendieta,Fidel Escobar,4
7569,798,Panama,5640,Gabriel Enrique Gómez Girón,Gabriel Enrique Gómez,6
7569,798,Panama,5643,Luis Carlos Tejada Hansell,Luis Tejada,18
7569,798,Panama,5646,Aníbal Cesis Godoy,Aníbal Godoy,20
7569,798,Panama,6138,Ricardo Guardia Avila,Ricardo Ávila,19
7569,798,Panama,6140,Abdiel Arroyo Molinar,Abdiel Arroyo,16
7569,798,Panama,6343,Harold Oshkaly Cummings Segura,Harold Cummings,3
7569,798,Panama,6344,Luis Carlos Ovalle Victoria,Luis Ovalle,17
7569,798,Panama,6346,Adolfo Abdiel Machado,Adolfo Machado,13
7570,782,Belgium,2954,Youri Tielemans,,17
7570,782,Belgium,3037,Moussa Sidi Yaya Dembélé,Mousa Dembélé,19
7570,782,Belgium,3101,Vincent Kompany,,4
7570,782,Belgium,3296,Marouane Fellaini-Bakkioui,Marouane Fellaini,8
7570,782,Belgium,3457,Michy Batshuayi Tunga,Michy Batshuayi,21
7570,782,Belgium,3509,Thibaut Courtois,,1
7570,782,Belgium,4831,Nacer Chadli,,22
7570,782,Belgium,5630,Dries Mertens,,14
7570,782,Belgium,5632,Thorgan Hazard,,16
7570,782,Belgium,5639,Anga Dedryck Boyata,Dedryck Boyata,20
7570,782,Belgium,6330,Adnan Januzaj,,18
7570,782,Belgium,6331,Leander Dendoncker,,23
7570,782,Belgium,6332,Thomas Vermaelen,,3
7570,768,England,3244,John Stones,,5
7570,768,England,3314,Phil Jones,,16
7570,768,England,3318,Marcus Rashford,,19
7570,768,England,3336,Harry Maguire,,6
7570,768,England,3468,Jordan Pickford,,1
7570,768,England,3504,Ruben Loftus-Cheek,,21
7570,768,England,3569,Daniel Nii Tackie Mensah Welbeck,Danny Welbeck,14
7570,768,England,3594,Danny Rose,,3
7570,768,England,3645,Gary Cahill,,15
7570,768,England,3664,Trent Alexander-Arnold,,22
7570,768,England,4597,Fabian Delph,,17
7570,768,England,10956,Eric Dier,,4
7570,768,England,10960,Jamie Vardy,,11
