match_id,index,id,period,minute,second,location_x,location_y,team_id,team_name,player_id,player_name,end_location_x,end_location_y,end_location_z,key_pass_id,outcome_id,outcome_name
7532,439,315613cb-bb28-496f-ad23-8d31d924a7ce,1,10,49,87.0,41.0,784,Peru,5525,Édison Michael Flores Peralta,120.0,45.8,3.9,be15e7b1-f7db-4c62-a193-0551769370b0,98,Off T
7532,482,a9c7bb5d-0d7f-494e-8cbb-abe1cef0257f,1,12,6,103.0,58.0,784,Peru,3632,André Martín Carrillo Díaz,115.0,37.0,0.9,,100,Saved
7532,571,4780e70d-299f-408a-8a9a-41c13a363157,1,13,35,86.0,43.0,784,Peru,5523,Renato Fabrizio Tapia Cortijo,98.0,40.0,,cc90badb-f4d6-4deb-b4f1-4d7700bb7ec1,96,Blocked
7532,577,6e810e75-e9f8-44e8-b089-b50f20623f43,1,14,11,107.0,37.0,784,Peru,5532,Alberto Junior Rodríguez Valdelomar,120.0,64.0,,76abc089-6ab5-40e3-a101-3186e5ad3e49,101,Wayward
7532,763,e107d3c1-cfa3-4f36-99c9-5cb868eb4e67,1,19,37,113.0,26.0,776,Denmark,5516,Pione Sisto Ifolo Emirmija,113.0,28.0,,e7f73b8f-67a4-4707-9fa1-8704294abfe1,96,Blocked
7532,953,b824d79d-cb46-4841-b0ec-5e9112b7fd62,1,26,22,88.0,36.0,776,Denmark,5527,Thomas Delaney,101.0,38.0,3.8,2559dc67-ade5-4509-999f-049c2a2705d5,98,Off T
7532,997,caabe349-18b5-4321-b8a8-efce92594723,1,28,21,108.0,51.0,784,Peru,5531,Jefferson Agustín Farfán Guadalupe,111.0,50.0,,0d782ec3-6314-44e5-afbb-5a13ab3f52be,96,Blocked
7532,1360,7bda8f5f-b0aa-423a-bfed-098b983bbe7a,1,38,46,100.0,52.0,776,Denmark,3043,Christian Dannemann Eriksen,109.0,46.0,,,96,Blocked
7532,1365,bcc5fc8c-07b6-4b48-96b1-f12251cc9091,1,38,48,94.0,43.0,776,Denmark,5520,Lasse Schöne,119.0,41.5,1.4,,100,Saved
7532,1421,88098824-f35e-415e-a7c6-5d22a1586b07,1,40,45,102.0,24.0,776,Denmark,5527,Thomas Delaney,120.0,47.3,0.1,593eb893-a955-4a13-b57b-f044fa9d91a2,98,Off T
7532,1526,d494b099-6afd-4da2-b6d6-8ad0fccd1dc0,1,45,42,108.0,40.0,784,Peru,5519,Christian Alberto Cueva Bravo,120.0,40.1,4.1,,98,Off T
7532,1540,e16aaffb-add5-40dd-a66b-a7e8e145be22,1,46,59,115.0,45.0,776,Denmark,5536,Yussuf Yurary Poulsen,120.0,32.9,0.2,43e0bf78-0f3a-4bf7-b3a1-dab5f1d972b6,98,Off T
7532,1780,e076c54f-08dc-4c68-88c7-938bfefe5ff5,2,49,55,110.0,60.0,784,Peru,5531,Jefferson Agustín Farfán Guadalupe,111.0,57.0,,7ee0211a-b96f-4a4c-a2b2-64736f761aa1,96,Blocked
7532,1815,08667168-4809-4abc-adc7-e6b5528d6aa0,2,50,28,90.0,36.0,776,Denmark,5524,Jens Stryger Larsen,120.0,42.8,6.3,,98,Off T
7532,1848,cd82fa0e-8b82-4e30-b720-258e59f0a6e1,2,52,54,103.0,59.0,776,Denmark,3043,Christian Dannemann Eriksen,120.0,45.6,0.5,,98,Off T
7532,1991,060beb7c-7693-42a1-9d1a-8065b61a6419,2,56,2,114.0,50.0,784,Peru,5525,Édison Michael Flores Peralta,120.0,45.8,0.2,,98,Off T
7532,2089,2309e051-9829-41b1-a332-6941a08a7199,2,58,32,108.0,28.0,776,Denmark,5536,Yussuf Yurary Poulsen,120.0,37.0,0.5,791de869-8207-4f47-bd3a-2c82b46ee8c8,97,Goal
7532,2121,cf205ac6-1870-4fcc-a6f2-87304b153d9a,2,60,7,108.0,29.0,784,Peru,5525,Édison Michael Flores Peralta,120.0,40.7,1.0,3cbbf7e4-ab6b-4004-a236-6dd97b9d4cae,100,Saved
7532,2216,570ea479-9069-4fad-9562-48e983db278f,2,63,37,113.0,41.0,784,Peru,5535,José Paolo Guerrero González,120.0,41.5,0.9,33d078d2-4d3c-4407-a885-d0533652d5f2,100,Saved
7532,2338,36e077dd-f4bb-4c17-8bac-0798ca2da37a,2,68,19,113.0,50.0,784,Peru,5532,Alberto Junior Rodríguez Valdelomar,120.0,35.2,0.4,76f8d1fa-574d-47fa-9eda-9e462e3ff00d,98,Off T
7532,2442,0a7f6494-514f-4bfe-a27f-5681185ea7e1,2,72,6,109.0,59.0,784,Peru,5521,Luis Jan Piers Advíncula Castrillón,118.0,43.6,1.6,70871412-bacf-4cb7-b5ee-e61ec195efcc,100,Saved
7532,2654,8393fb79-a904-4a79-8235-94a522495215,2,78,28,112.0,40.0,784,Peru,5535,José Paolo Guerrero González,120.0,44.8,0.2,08cb4206-7252-40c1-a293-f695fa87ceb8,98,Off T
7532,2722,d59a3d52-e048-4f21-93df-74b35a31e552,2,81,45,104.0,49.0,776,Denmark,5522,Nicolai Jørgensen,112.0,42.0,,,96,Blocked
7532,2783,b585debf-6b91-4ded-9764-61ea956240dc,2,83,20,108.0,43.0,784,Peru,5531,Jefferson Agustín Farfán Guadalupe,119.0,42.2,0.6000000000000001,a69ffb11-c38c-442f-b51a-8d662a59771b,100,Saved
7532,2817,b595cd9d-3ce2-4bac-bbb9-e8bb2681bb43,2,85,25,105.0,32.0,776,Denmark,3043,Christian Dannemann Eriksen,110.0,42.6,1.3,6225d4cc-31a5-4e2e-9741-f8e2bcae652a,100,Saved
7532,3059,c3580921-20e7-4296-8dab-1d1f6d841f3d,2,94,2,112.0,41.0,784,Peru,5535,José Paolo Guerrero González,111.0,48.0,,9406322a-91a6-4a98-9c50-b5693c74532e,101,Wayward
7555,55,939382d1-6b04-4e1e-b742-dba373c3df0a,1,1,0,104.0,21.0,789,Poland,5666,Dawid Kownacki,113.0,37.0,,1131de0c-16b6-4ce1-84eb-bdee76bda019,96,Blocked
7555,166,fb825d69-ee23-4dc4-9bbf-91fd4bbcf97a,1,4,16,115.0,39.0,789,Poland,5668,Robert Lewandowski,118.0,37.0,,eb25e0ca-6a7c-4f46-ab9c-31f8a58c02fc,101,Wayward
7555,573,738f6e4b-0e83-4099-b808-4c1ce83810ed,1,14,48,95.0,52.0,769,Colombia,5696,Santiago Arias Naranjo,99.0,52.0,,,96,Blocked
7555,707,f396469d-2286-4c63-ac20-33e6c225302e,1,17,41,95.0,52.0,789,Poland,5660,Piotr Zieliński,99.0,52.0,,bafced6c-8930-4156-8e7b-de79b6d7d923,96,Blocked
